Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Season,Playoffs
40,Dante Cunningham,PF,31,SAS,5,13,29.5,1.000,.667,.000,16.7,32.9,24.9,0.0,0.0,0.0,0.0,10.7,,0.1,0.0,0.1,.314,,12.1,0.0,12.1,0.0,2019,True
41,Seth Curry,SG,28,POR,16,326,8.3,.518,.634,.134,1.6,6.5,4.1,5.7,1.8,1.0,7.5,12.5,,0.1,0.1,0.3,.043,,-1.6,0.2,-1.4,0.1,2019,True
42,Stephen Curry,PG,30,GSW,22,846,22.6,.620,.566,.364,2.4,15.2,9.0,23.9,1.4,0.5,11.7,29.1,,2.7,0.4,3.2,.179,,5.6,-0.5,5.2,1.5,2019,True
43,Ed Davis,C,29,BRK,3,41,19.7,.735,.000,.200,9.3,40.8,23.8,7.8,0.0,1.8,0.0,10.8,,0.2,0.0,0.2,.228,,1.7,2.1,3.8,0.1,2019,True
44,DeMar DeRozan,SG,29,SAS,7,251,23.2,.557,.008,.370,4.3,15.8,10.1,21.6,1.7,0.3,8.0,27.8,,0.6,0.1,0.8,.145,,3.0,0.8,3.8,0.4,2019,True
45,Spencer Dinwiddie,PG,25,BRK,5,131,12.3,.536,.387,.226,2.9,7.7,5.1,10.3,0.7,0.0,10.5,23.7,,0.0,0.0,0.0,-0.005,,-0.4,-2.7,-3.2,0.0,2019,True
46,Andre Drummond,C,25,DET,4,127,15.6,.451,.019,.389,13.9,29.3,20.6,12.0,2.3,3.6,14.8,24.6,,-0.2,0.1,-0.1,-0.048,,-1.9,-1.0,-2.9,0.0,2019,True
47,Jared Dudley,PF,33,BRK,4,82,4.7,.470,.818,.364,0.0,2.7,1.3,17.6,1.7,0.9,23.9,8.3,,0.0,0.0,0.0,-0.019,,-4.0,2.0,-2.0,0.0,2019,True
48,Kevin Durant,SF,30,GSW,12,442,26.8,.661,.329,.465,0.3,14.7,7.7,21.6,1.5,2.6,12.8,33.0,,1.5,0.3,1.8,.199,,6.8,0.8,7.6,1.1,2019,True
49,Wayne Ellington,SG,31,DET,4,131,5.7,.432,.629,.057,2.0,10.7,5.8,5.5,1.1,0.0,5.3,12.2,,-0.1,-0.1,-0.2,-0.064,,-3.5,-2.2,-5.7,-0.1,2019,True
50,Joel Embiid,C,24,PHI,11,334,21.8,.559,.245,.566,7.2,29.0,18.7,17.9,1.2,6.7,16.8,30.4,,0.3,0.7,1.0,.143,,2.5,2.6,5.1,0.6,2019,True
51,James Ennis III,SF,28,PHI,11,232,11.3,.574,.500,.297,7.9,11.5,9.8,7.5,0.8,1.2,12.1,15.1,,0.3,0.2,0.5,.102,,-0.7,0.5,-0.2,0.1,2019,True
52,Jacob Evans,SG,21,GSW,7,18,0.3,.500,.400,.000,0.0,6.2,3.2,7.5,0.0,0.0,28.6,16.9,,0.0,0.0,-0.1,-0.137,,-6.5,-3.2,-9.7,0.0,2019,True
53,Tyreke Evans,SG,29,IND,4,84,17.7,.563,.417,.292,0.0,24.4,11.0,8.0,1.8,1.1,10.0,33.1,,-0.1,0.1,0.1,.046,,2.4,1.1,3.5,0.1,2019,True
